	position	email	yes_please	no_please	history_1	history_2	history_3	history_4	history_5	history_6
Firstname01 Lastname01	faculty	email01@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname02 Lastname02	faculty	email02@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname03 Lastname03	faculty	email03@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname04 Lastname04	faculty	email04@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname05 Lastname05	faculty	email05@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname06 Lastname06	faculty	email06@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname07 Lastname07	faculty	email07@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname08 Lastname08	student	email08@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname09 Lastname09	post-doc	email09@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname10 Lastname10	faculty	email10@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname11 Lastname11	faculty	email11@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname12 Lastname12	faculty	email12@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname13 Lastname13	faculty	email13@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname14 Lastname14	faculty	email14@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname15 Lastname15	faculty	email15@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname16 Lastname16	faculty	email16@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname17 Lastname17	student	email17@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname18 Lastname18	post-doc	email18@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname19 Lastname19	post-doc	email19@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname20 Lastname20	student	email20@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname21 Lastname21	student	email21@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname22 Lastname22	student	email22@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname23 Lastname23	student	email23@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname24 Lastname24	student	email24@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname25 Lastname25	student	email25@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname26 Lastname26	post-doc	email26@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname27 Lastname27	post-doc	email27@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname28 Lastname28	student	email28@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname29 Lastname29	staff	email29@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname30 Lastname30	post-doc	email30@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname31 Lastname31	post-doc	email31@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname32 Lastname32	student	email32@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname33 Lastname33	student	email33@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname34 Lastname34	post-doc	email34@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname35 Lastname35	student	email35@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname36 Lastname36	student	email36@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname37 Lastname37	faculty	email37@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname38 Lastname38	staff	email38@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname39 Lastname39	student	email39@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname40 Lastname40	student	email40@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname41 Lastname41	faculty	email41@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname42 Lastname42	student	email42@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname43 Lastname43	faculty	email43@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname44 Lastname44	student	email44@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname45 Lastname45	faculty	email45@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname46 Lastname46	student	email46@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname47 Lastname47	staff	email47@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname48 Lastname48	faculty	email48@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname49 Lastname49	student	email49@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname50 Lastname50	faculty	email50@address.com	NA	NA	NA	NA	NA	NA	NA	NA
Firstname51 Lastname51	faculty	email51@address.com	NA	NA	NA	NA	NA	NA	NA	NA
